x,y
27.809890,4.989267
27.857020,5.006757
27.904139,5.024277
27.951247,5.041826
27.998343,5.059405
28.045429,5.077014
28.092504,5.094652
28.139567,5.112319
28.186620,5.130016
28.233661,5.147743
28.280691,5.165499
28.327710,5.183285
28.374718,5.201101
28.421715,5.218945
28.468700,5.236820
28.515674,5.254724
28.562637,5.272657
28.609589,5.290620
28.656529,5.308613
28.703458,5.326635
28.750376,5.344686
28.797282,5.362767
28.844177,5.380878
28.891061,5.399017
28.937933,5.417187
28.984794,5.435386
29.031643,5.453614
29.078481,5.471871
29.125307,5.490159
29.172122,5.508475
29.218925,5.526821
29.265717,5.545196
29.312497,5.563601
29.359266,5.582035
29.406023,5.600499
29.452769,5.618992
29.499502,5.637514
29.546225,5.656065
29.592935,5.674646
29.639634,5.693257
29.686321,5.711896
29.732996,5.730565
29.779660,5.749264
29.826312,5.767991
29.872952,5.786748
29.919580,5.805535
29.966197,5.824350
30.012802,5.843195
30.059394,5.862069
30.105975,5.880972
30.152544,5.899905
30.199102,5.918867
30.245647,5.937858
30.292180,5.956879
30.338702,5.975928
30.385211,5.995007
30.431708,6.014115
30.478194,6.033253
30.524667,6.052419
30.571128,6.071615
30.617577,6.090840
30.664014,6.110094
30.710439,6.129377
30.756852,6.148690
30.803253,6.168031
30.849642,6.187402
30.896018,6.206802
30.942382,6.226231
30.988734,6.245689
31.035074,6.265176
31.081401,6.284693
31.127716,6.304238
31.174019,6.323813
31.220310,6.343417
31.266588,6.363050
31.312854,6.382711
31.359108,6.402402
31.405349,6.422122
31.451577,6.441871
31.497794,6.461650
31.543998,6.481457
31.590189,6.501293
31.636368,6.521158
31.682535,6.541052
31.728689,6.560976
31.774830,6.580928
31.820959,6.600909
31.867075,6.620919
31.913179,6.640958
31.959270,6.661026
32.005349,6.681123
32.051415,6.701250
32.097468,6.721405
32.143508,6.741588
32.189536,6.761801
32.235551,6.782043
32.281554,6.802314
32.327544,6.822613
32.373521,6.842942
32.419485,6.863299
32.465436,6.883685
32.511374,6.904100
32.557300,6.924544
32.603213,6.945017
32.649113,6.965519
32.695000,6.986049
32.740874,7.006609
32.786735,7.027197
32.832584,7.047814
32.878419,7.068460
32.924241,7.089134
32.970051,7.109838
33.015847,7.130570
33.061630,7.151331
33.107400,7.172120
33.153158,7.192939
33.198902,7.213786
33.244633,7.234662
33.290350,7.255567
33.336055,7.276500
33.381747,7.297462
33.427425,7.318453
33.473090,7.339473
33.518742,7.360521
33.564381,7.381598
33.610006,7.402703
33.655618,7.423837
33.701217,7.445000
33.746803,7.466192
33.792375,7.487412
33.837934,7.508661
33.883479,7.529938
33.929011,7.551244
33.974530,7.572579
34.020035,7.593942
34.065527,7.615334
34.111006,7.636755
34.156471,7.658204
34.201922,7.679681
34.247360,7.701187
34.292785,7.722722
34.338196,7.744285
34.383593,7.765877
34.428977,7.787497
34.474347,7.809146
34.519704,7.830823
34.565046,7.852529
34.610376,7.874263
34.655691,7.896026
34.700993,7.917817
34.746282,7.939637
34.791556,7.961485
34.836817,7.983362
34.882064,8.005267
34.927297,8.027200
34.972517,8.049162
35.017722,8.071152
35.062914,8.093171
35.108092,8.115218
35.153256,8.137294
35.198407,8.159397
35.243543,8.181530
35.288665,8.203690
35.333774,8.225879
35.378868,8.248096
35.423949,8.270342
35.469015,8.292616
35.514068,8.314918
35.559107,8.337249
35.604131,8.359607
35.649142,8.381995
35.694138,8.404410
35.739120,8.426854
35.784088,8.449326
35.829042,8.471826
35.873982,8.494354
35.918908,8.516911
35.963820,8.539496
36.008717,8.562109
36.053600,8.584750
36.098469,8.607420
36.143324,8.630117
36.188164,8.652843
36.232990,8.675597
36.277802,8.698379
36.322599,8.721190
36.367382,8.744028
36.412151,8.766895
36.456905,8.789790
36.501645,8.812713
36.546371,8.835664
36.591082,8.858643
36.635779,8.881650
36.680461,8.904685
36.725129,8.927749
36.769782,8.950840
36.814421,8.973959
36.859045,8.997107
36.903654,9.020283
36.948250,9.043486
36.992830,9.066718
37.037396,9.089977
37.081947,9.113265
37.126484,9.136581
37.171006,9.159924
37.215513,9.183296
37.260005,9.206695
37.304483,9.230123
37.348946,9.253578
37.393395,9.277061
37.437828,9.300573
37.482247,9.324112
37.526651,9.347679
37.571040,9.371274
37.615415,9.394897
37.659774,9.418548
37.704119,9.442226
37.748448,9.465933
37.792763,9.489667
37.837063,9.513429
37.881348,9.537219
37.925618,9.561037
37.969873,9.584883
38.014113,9.608756
38.058338,9.632658
38.102548,9.656587
38.146743,9.680543
38.190923,9.704528
38.235088,9.728540
38.279238,9.752580
38.323372,9.776648
38.367492,9.800744
38.411596,9.824867
38.455685,9.849018
38.499759,9.873197
38.543818,9.897403
38.587862,9.921637
38.631890,9.945899
