step,x,y,v,delta,cross_err
372,-9.583076,159.279412,15.0000,0.033876,0.143502
373,-10.327219,159.185862,15.0000,0.033865,0.143555
374,-11.070448,159.085311,15.0000,0.033855,0.143625
375,-11.812698,158.977770,15.0000,0.033847,0.143708
376,-12.553903,158.863252,15.0000,0.033840,0.143804
377,-13.293999,158.741767,15.0000,0.033834,0.143910
378,-14.032919,158.613328,15.0000,0.033829,0.144025
379,-14.770599,158.477947,15.0000,0.033824,0.144148
380,-15.506974,158.335638,15.0000,0.033821,0.144277
381,-16.241979,158.186414,15.0000,0.031491,0.144394
382,-16.975549,158.030289,15.0000,0.034360,0.144532
383,-17.707725,157.867751,15.0000,0.034052,0.144188
384,-18.438315,157.698229,15.0000,0.034035,0.143962
385,-19.167269,157.521802,15.0000,0.033999,0.143789
386,-19.894521,157.338488,15.0000,0.033970,0.143666
387,-20.620010,157.148312,15.0000,0.033945,0.143584
388,-21.343670,156.951296,15.0000,0.033923,0.143539
389,-22.065440,156.747463,15.0000,0.033905,0.143524
390,-22.785257,156.536835,15.0000,0.033890,0.143535
391,-23.503057,156.319434,15.0000,0.033876,0.143569
392,-24.218778,156.095284,15.0000,0.033865,0.143623
393,-24.932357,155.864406,15.0000,0.033855,0.143692
394,-25.643732,155.626823,15.0000,0.033847,0.143776
395,-26.352840,155.382558,15.0000,0.033840,0.143872
396,-27.059620,155.131634,15.0000,0.033834,0.143978
397,-27.764009,154.874075,15.0000,0.033829,0.144093
398,-28.465945,154.609906,15.0000,0.033825,0.144216
399,-29.165367,154.339149,15.0000,0.031494,0.144328
400,-29.862213,154.061830,15.0000,0.034363,0.144461
401,-30.556605,153.778424,15.0000,0.034055,0.144114
402,-31.248260,153.488400,15.0000,0.034037,0.143884
403,-31.937139,153.191844,15.0000,0.034001,0.143708
404,-32.623182,152.888785,15.0000,0.033971,0.143582
405,-33.306332,152.579258,15.0000,0.033946,0.143499
406,-33.986529,152.263296,15.0000,0.033925,0.143451
407,-34.663715,151.940932,15.0000,0.033906,0.143435
408,-35.337832,151.612199,15.0000,0.033890,0.143445
409,-36.008822,151.277128,15.0000,0.033877,0.143478
410,-36.676627,150.935753,15.0000,0.033866,0.143530
411,-37.341189,150.588107,15.0000,0.033856,0.143599
412,-38.002450,150.234223,15.0000,0.033847,0.143682
413,-38.660352,149.874133,15.0000,0.033840,0.143777
414,-39.314838,149.507871,15.0000,0.033834,0.143883
415,-39.965851,149.135470,15.0000,0.033829,0.143997
416,-40.613334,148.756966,15.0000,0.033825,0.144119
417,-41.257230,148.372391,15.0000,0.033821,0.144248
418,-41.897483,147.981782,15.0000,0.031491,0.144365
419,-42.534037,147.585172,15.0000,0.034360,0.144503
420,-43.167096,147.183008,15.0000,0.034052,0.144159
421,-43.796287,146.774817,15.0000,0.034035,0.143933
422,-44.421586,146.360691,15.0000,0.033999,0.143760
423,-45.042941,145.940669,15.0000,0.033970,0.143636
424,-45.660300,145.514796,15.0000,0.033945,0.143555
425,-46.273612,145.083115,15.0000,0.033924,0.143509
426,-46.882824,144.645667,15.0000,0.033905,0.143494
427,-47.487885,144.202496,15.0000,0.033890,0.143506
428,-48.088745,143.753644,15.0000,0.033876,0.143540
429,-48.685350,143.299153,15.0000,0.033865,0.143593
430,-49.277651,142.839067,15.0000,0.033855,0.143662
431,-49.865596,142.373427,15.0000,0.033847,0.143746
432,-50.449134,141.902276,15.0000,0.033840,0.143842
433,-51.028216,141.425658,15.0000,0.033834,0.143948
434,-51.602789,140.943615,15.0000,0.033829,0.144063
435,-52.172806,140.456192,15.0000,0.033825,0.144186
436,-52.738215,139.963432,15.0000,0.031494,0.144299
437,-53.298967,139.465379,15.0000,0.034363,0.144431
438,-53.855340,138.962438,15.0000,0.034055,0.144084
439,-54.406885,138.454207,15.0000,0.034037,0.143854
440,-54.953595,137.940780,15.0000,0.034001,0.143678
441,-55.495425,137.422205,15.0000,0.033971,0.143552
442,-56.032331,136.898533,15.0000,0.033946,0.143469
443,-56.564270,136.369817,15.0000,0.033925,0.143421
444,-57.091198,135.836106,15.0000,0.033906,0.143405
445,-57.613071,135.297452,15.0000,0.033890,0.143415
446,-58.129846,134.753904,15.0000,0.033877,0.143448
447,-58.641479,134.205514,15.0000,0.033866,0.143500
448,-59.147927,133.652332,15.0000,0.033856,0.143569
449,-59.649147,133.094409,15.0000,0.033847,0.143652
450,-60.145095,132.531794,15.0000,0.033840,0.143747
451,-60.635730,131.964540,15.0000,0.033834,0.143853
452,-61.121010,131.392698,15.0000,0.033829,0.143967
453,-61.600891,130.816318,15.0000,0.033825,0.144090
454,-62.075333,130.235452,15.0000,0.033821,0.144218
455,-62.544295,129.650153,15.0000,0.031491,0.144336
456,-63.007734,129.060472,15.0000,0.034360,0.144473
457,-63.465997,128.466759,15.0000,0.034052,0.144130
458,-63.918569,127.868697,15.0000,0.034035,0.143903
459,-64.365462,127.266379,15.0000,0.033999,0.143730
460,-64.806639,126.659862,15.0000,0.033970,0.143607
461,-65.242066,126.049203,15.0000,0.033945,0.143525
462,-65.671708,125.434462,15.0000,0.033923,0.143480
463,-66.095534,124.815695,15.0000,0.033905,0.143465
464,-66.513507,124.192961,15.0000,0.033890,0.143476
465,-66.925595,123.566316,15.0000,0.033876,0.143510
466,-67.331763,122.935818,15.0000,0.033865,0.143563
467,-67.731978,122.301525,15.0000,0.033855,0.143633
